Longitude,Latitude,Encounter Type
-79.85982600000001,44.85625399999999,aggressive
-79.849404,44.856271,curious_risk
-79.853274,44.856297,curious_risk
-79.81970299999998,44.856723,curious_risk
-79.848186,44.85674,curious_risk
-79.861433,44.856822,curious_risk
-79.849321,44.856834,curious_risk
-79.827602,44.85694299999999,curious_risk
-79.874055,44.85704,curious_risk
-79.84660099999999,44.857053,curious_risk
-79.871335,44.85705999999999,aggressive
-79.874676,44.85712599999999,curious_risk
-79.863535,44.857144999999996,curious_risk
-79.859001,44.857159999999986,curious_risk
-79.85192699999999,44.85726,curious_risk
-79.86561499999998,44.85754099999999,curious_risk
-79.871062,44.857929,curious_risk
-79.877297,44.858243,curious_risk
-79.81703099999997,44.858439,curious_risk
-79.87057899999998,44.85847099999999,curious_risk
-79.870232,44.858537999999996,neutral_passive
-79.846781,44.858836999999994,curious_risk
-79.846479,44.858946,curious_risk
-79.836427,44.85894799999999,curious_risk
-79.87412,44.859303,curious_risk
-79.849336,44.859736,curious_risk
-79.87046799999997,44.859781,curious_risk
-79.869657,44.859805,curious_risk
-79.86775299999998,44.85998899999999,curious_risk
-79.835449,44.86015399999999,curious_risk
-79.870979,44.86050500000001,neutral_passive
-79.86626899999999,44.86058,neutral_passive
-79.87444899999998,44.860808999999996,curious_risk
-79.869327,44.860913999999994,curious_risk
-79.874424,44.861198,curious_risk
-79.820389,44.861252,curious_risk
-79.83193,44.86155,curious_risk
-79.850288,44.861599,curious_risk
-79.872603,44.861611999999994,curious_risk
-79.862972,44.861634,curious_risk
-79.876543,44.861655,curious_risk
-79.807511,44.861681,curious_risk
-79.81521799999999,44.86173399999999,curious_risk
-79.853869,44.86179399999999,curious_risk
-79.859944,44.86187599999999,curious_risk
-79.86843,44.862039,neutral_passive
-79.853381,44.862096,curious_risk
-79.87119099999998,44.862174,neutral_passive
-79.87053799999997,44.862176999999996,curious_risk
-79.84215999999999,44.86230599999998,aggressive
-79.865175,44.862321,curious_risk
-79.835494,44.862367,curious_risk
-79.852231,44.862379,curious_risk
-79.86207099999999,44.862407,curious_risk
-79.861912,44.86258899999999,curious_risk
-79.878004,44.86262099999998,neutral_passive
-79.859645,44.862657999999996,curious_risk
-79.852128,44.862664,curious_risk
-79.86506,44.86293800000001,curious_risk
-79.851926,44.863007,neutral_passive
-79.851586,44.86301600000001,curious_risk
-79.855335,44.863036,curious_risk
-79.852447,44.86308600000001,curious_risk
-79.858294,44.86310499999999,curious_risk
-79.862108,44.863177999999984,curious_risk
-79.84833499999999,44.863181999999995,curious_risk
-79.834417,44.863219999999984,curious_risk
-79.872576,44.86328400000001,curious_risk
-79.84788299999998,44.863325999999994,curious_risk
-79.859447,44.863444999999984,curious_risk
-79.87689399999998,44.864198,neutral_passive
-79.829731,44.86421599999999,curious_risk
-79.859814,44.864249,neutral_passive
-79.859612,44.86426199999998,neutral_passive
-79.867165,44.864673,curious_risk
-79.86062899999999,44.864674,aggressive
-79.869282,44.864678,curious_risk
-79.864623,44.86468999999999,curious_risk
-79.860727,44.864801,curious_risk
-79.861102,44.864923999999995,curious_risk
-79.855497,44.864932,curious_risk
-79.86440299999998,44.865168999999995,curious_risk
-79.81454399999998,44.865214999999985,neutral_passive
-79.85211499999998,44.86534399999999,curious_risk
